Designator,Val,Mid X,Mid Y,Rotation,Layer
C52,100nF/50V,194.65,-180.9175,-90,top
C53,100nF/50V,193.65,-180.9175,-90,top
C54,100nF/50V,177.6,-197.5,-90,top
C55,100nF,300.1,-144.4,-90,top
C56,100nF/50V,231.35,-144.2875,90,top
C57,22uF/10V,222.42,-140.975,90,top
C58,22uF/10V,224.6,-140.9875,90,top
C59,22uF/10V,226.8,-140.975,90,top
C60,22uF/10V,229,-140.9375,90,top
C61,22uF/10V,231.2,-140.9375,90,top
C62,22uF/10V,227.05,-148.4775,0,top
C63,22uF/10V,231.05,-148.4875,180,top
C64,100nF,182.8,-170.75,90,top
C65,100nF,159.6,-167.85,-90,top
C66,100nF,246.1125,-147.7,-90,top
C67,100nF,243.8125,-147.7,-90,top
C68,100nF,253.2125,-141.4,0,top
C69,22p,256.6625,-160.6,90,top
C70,22p,251.45,-160.6,-90,top
C71,220nF/50V,189.35,-95.25,180,top
C72,220nF/50V,189.35,-93.15,180,top
C73,10uF/10V,189.5075,-101.55,180,top
C74,100nF/50V,190.075,-96.85,180,top
C75,10uF/10V,189.5075,-99.75,180,top
C76,100nF/50V,190.075,-98.15,180,top
C77,220nF/50V,230.54,-87.35,90,top
C78,220nF/50V,232.85,-87.35,90,top
C79,10uF/10V,249.55,-94.055,0,top
C80,100nF/50V,249.05,-98.755,0,top
C81,10uF/10V,249.55,-95.855,0,top
C82,100nF/50V,249.05,-97.455,0,top
C83,0.1uF,250.35,-187.25,0,top
C84,0.1uF,261.35,-190.35,180,top
C85,0.1uF,254.75,-187.35,180,top
C86,0.1uF,248.55,-169.35,0,top
C87,1uF,262.9125,-154.55,180,top
C88,1uF,246.0625,-150.4,180,top
C89,22uF/10V,148.9,-188.2,90,top
D1,ESD5V0BO3,231.37,-196.2,-90,top
D2,ESD5V0BO3,236.95,-195.3,90,top
D3,PESD24VS1UL-N,235,-195.35,-90,top
D4,PESD24VS1UL-N,231.37,-193.75,-90,top
D5,PESD24VS1UL-N,233.35,-195.05,180,top
D6,RFID STATUS,281.5,-206.9381,0,top
D7,NET,289.35,-206.9381,0,top
D8,3V3 Izt=5mA,208.45,-186.2,180,top
D9,SS54,224.8,-189.05,-90,top
D10,SS54,220.85,-189.1,-90,top
D11,SS54,216.9,-189.1,-90,top
D12,LED,258.2,-122.95,180,top
D13,CD4148WP,246.0625,-153.9,90,top
D14,ESD5V0B03,259.35,-194.35,-90,top
D15,ESD5V0B03,244.9,-191.05,0,top
D16,1N5819WS,120.45,-169.05,90,top
D17,ESD5V0BO3,162.65,-185.35,180,top
D18,ESD5V0BO3,162.65,-183.8,180,top
D19,ESD5V0BO3,165.65,-185.35,0,top
D20,ESD5V0BO3,165.65,-183.8,0,top
D21,ESD5V0BO3,191.1525,-195.25,0,top
D22,SS54,178.7,-190.95,90,top
D23,ESD5V0BO3,184.85,-181.05,0,top
D24,ESD5V0BO3,190.1,-181.775,0,top
D25,LED,189.475,-104.75,180,top
D26,LED,258.2,-124.65,180,top
D27,PWR,273.85,-206.9381,0,top
D28,LED,258.2,-126.35,180,top
D29,LED,258.2,-128.05,180,top
D30,LED,258.2,-129.75,180,top
D31,LED,258.2,-139.55,180,top
D32,LED,258.2,-137.9,180,top
D33,LED,258.2,-136.25,180,top
D34,LED,258.2,-134.6,180,top
F1,6V/1A,150.8,-188,-90,top
F3,6V/1A,154.6,-186.05,-90,top
F4,6V/1A,152.75,-186.05,-90,top
F5,6V/50mA,178.8,-195.4,0,top
J1,DC-005,218.31,-196.45,90,top
J2,USB_C_Receptacle_USB2.0_16P,233.4,-205.15,0,top
J3,1054500101,181.5,-207.75,0,top
J4,Conn_01x03_Pin,112.55,-158.15,90,top
J5,Conn_01x06,225.91,-155.25,90,top
J7,HR911130A,137.55,-196.75,180,top
J8,HDMI_A,200.6,-200.73,-90,top
J9,USB3_A_Stacked,160.6875,-198.19,0,top
J18,Bus_M.2_Socket_M,204.85,-95.525,0,top
J19,Bus_M.2_Socket_E,235,-97.425,0,top
J20,Bus_M.2_Socket_E,276.4,-135.6,180,top
J21,LAN,243.25,-176.45,-90,top
L1,2.2uH/4.3A,216.85,-172.2,-90,top
L2,2.2uH/4.3A,232.35,-169.65,90,top
L3,BLM18HD102SN1D,258.15,-188.15,-90,top
L4,2.2uH/4.3A,235.8,-143.5375,90,top
L5,MH2029-300Y,262.7625,-151.6,90,top
M1,Fan_4pin,113.75,-172.15,90,top
Q2,Q_NPN_BEC,212.15,-190.2,90,top
Q3,2N7002,236.15,-185.7,-90,top
Q5,2N7002,181.65,-184.8,0,top
Q6,2SK3018,190.5,-177.0125,-90,top
Q7,2SK3018,186.05,-177.0125,-90,top
Q8,2SK3018,188.6,-186.7,-90,top
R1,10K/1%,236.47,-192.2,0,top
R2,1K/1%,236.47,-193.5,0,top
R3,2.2K/1%,279.45,-204.6,180,top
R4,2.2K/1%,287.5,-204.2,180,top
R5,2.2K/1%,213.35,-184.9,180,top
R6,75k/1%,225.2,-143.8875,180,top
R7,10K/1%,224.65,-145.35,0,top
R8,56K/1%,238.8,-190.25,-90,top
R9,24K/1%,240.6,-190.25,-90,top
R10,100R/1%,236.85,-172.15,90,top
R11,1K/1%,237.8,-181.95,180,top
R12,10K/1%,239.65,-182.55,-90,top
R13,1K/1%,211.1,-193.65,-90,top
R14,100K/1%,236.85,-174.95,90,top
R15,2.2K/1%,272.05,-204.65,180,top
R16,75k/1%,209.75,-167.55,90,top
R17,10K/1%,208.15,-168.05,-90,top
R18,21.5k/1%,224.65,-166.25,90,top
R19,4.7k/1%,225.95,-166.25,-90,top
R20,10k,243.5125,-153.9,90,top
R21,100R/1%,257.85,-194.35,-90,top
R22,100R/1%,247.05,-194.55,-90,top
R23,1K/1%,122.65,-176.65,180,top
R24,10K/1%,141.25,-141.35,90,top
R25,10K/1%,142.65,-141.35,90,top
R26,100K/1%,164.35,-154.85,180,top
R27,100K/1%,166.8,-154.85,0,top
R28,10K/1%,149.85,-156.65,-90,top
R29,21.5k/1%,120.45,-165.85,-90,top
R30,100R/1%,118.45,-164.25,-90,top
R31,4.7k/1%,118.45,-169.45,-90,top
R32,10k/1%,139.45,-166.5675,-90,top
R33,10k/1%,138.05,-166.5675,-90,top
R34,2.49k/1%,131.45,-182.45,90,top
R35,1M/1%,136.85,-173.35,90,top
R36,470R/1%,132.85,-182.45,-90,top
R37,470R/1%,145.85,-177.55,-90,top
R38,1M/1%,179,-184.55,90,top
R39,2.2k/1%,186.05,-174.25,0,top
R40,21.5k/1%,191.1525,-192.45,180,top
R41,2.2k/1%,190.55,-174.15,0,top
R42,1k/1%,191.1525,-193.75,180,top
R43,470R/1%,190.95,-187.5,90,top
R44,470R/1%,192.8,-187.5,90,top
R45,470R/1%,194.95,-187.45,90,top
R46,470R/1%,196.75,-187.45,90,top
R47,470R/1%,198.8,-187.4,90,top
R48,470R/1%,200.55,-187.4,90,top
R49,2.2k/1%,190.1,-180.175,0,top
R50,470R/1%,202.5,-187.4,90,top
R51,2.2k/1%,184.95,-179.65,0,top
R52,470R/1%,204.35,-187.4,90,top
R53,2.2k/1%,188.85,-184,180,top
R54,0R/1%,217.55,-92.65,-90,top
R55,0R/1%,217.75,-97.25,-90,top
R56,2.2k/1%,190.05,-103.15,0,top
R57,0R/1%,238.65,-88.65,-90,top
R58,0R/1%,249.05,-92.455,0,top
R59,10k/1%,249.05,-99.955,180,top
R60,10k/1%,249.05,-101.255,180,top
R61,49R9,261.4375,-185.35,180,top
R62,49R9,257.7375,-185.35,0,top
R63,1M,254.2125,-157.75,180,top
R64,22R,245.4625,-141.9,180,top
R65,22R,245.4625,-143.56,180,top
R67,49R9,254.0375,-185.35,180,top
R69,49R9,250.3375,-185.35,0,top
R70,75R,252.45,-169.35,180,top
R71,75R,258.65,-169.35,180,top
SW1,SW_Push,264.4,-203.0225,0,top
SW2,SW_Push,251.3,-200.5225,0,top
U1,FT232RL-REEL,293.65,-137.15,90,top
U2,CH224K,231.1,-187.5,-90,top
U3,SY8253ADC,211.05,-171.95,-90,top
U4,SY8253ADC,226.75,-169.75,-90,top
U5,RTL8111H-CG-RH,141.9,-173.35,90,top
U6,RJ45 Transformer,256.45,-176.7,0,top
U7,ULC0524P,158.95,-185.0375,-90,top
U8,ULC0524P,174.15,-185.3625,-90,top
U9,TPAZ1023-04F,204.1,-192.65,-90,top
U10,TPAZ1023-04F,200.6,-192.65,-90,top
U11,SY8253ADC,228.8,-145.1875,-90,top
U17,FT232RL-REEL,176.5,-169.2,0,top
U18,FT232RL-REEL,165.95,-169.25,180,top
U19,ATMEGA32U4-AUR,254.5625,-149.5,0,top
Y1,25MHz,133.2,-173.6,180,top
Y2,16MHz,254.1625,-160.25,0,top
